 RADAR_ALT    ,ALT          ,PITCH_ATT    ,MAG_HEADING  ,ROLL_ATT     ,PITCH RATE   ,ROLL RATE    ,RATE_OF_CLIMB,LONG_CYC_POS ,PEDAL_POS    ,PWR_LEVER    ,LAT_CYC_POS  ,LTM_CMD_POS  ,FLAP_POS     ,RTR2_MAST_TRQ,RTR1_MAST_TRQ,PYL1_CONV_POS,IND_AIRSPEED ,ROTOR2_SPEED ,MSTR_CAUTION ,DGPS_TIME    ,DGPS_LAT     ,DGPS_LON     ,DGPS_HEIGHT  ,DGPS_SOG     ,DGPS_COG     ,DGPS_PDOP    ,DGPS_AGE_DATA,DGPS_ROC     ,
   653., 1265., 10.69, -22.81,   0.57, -0.200, -0.015,   75., 42.08, 40.11, 45.25, 47.86,  -0.48, 2.7, 63498., 71971., 0.1,138.0, 98.9,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   647., 1265., 10.69, -22.81,   0.44,  0.004, -0.015,   87., 41.84, 39.96, 45.38, 48.03,  -0.48, 2.7, 64007., 73509., 0.1,138.8, 98.9,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   653., 1265., 10.69, -22.81,   0.44, -0.200,  0.402,   93., 42.08, 40.11, 45.12, 47.86,  -0.48, 2.7, 61205., 69773., 0.1,138.4, 98.9,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   653., 1248., 10.69, -22.81,   0.44,  0.004,  0.402,   99., 41.84, 39.96, 45.38, 48.03,  -0.48, 2.7, 67574., 72630., 0.0,139.2, 98.7,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   658., 1265., 10.57, -22.46,   0.44, -0.200,  0.611,   99., 42.08, 40.11, 45.12, 47.86,  -0.26, 2.7, 67574., 66477., 0.1,138.4, 98.7,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   650., 1248., 10.57, -22.81,   0.44, -0.098, -0.015,  111., 41.84, 39.96, 45.38, 48.03,  -0.48, 2.8, 64772., 72410., 0.0,139.2, 98.7,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   653., 1265., 10.57, -22.81,   0.44, -0.301,  0.402,  117., 42.08, 39.96, 45.25, 48.03,  -0.26, 2.7, 67064., 70872., 0.1,138.0, 98.7,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   650., 1248., 10.57, -22.81,   0.44, -0.200, -0.015,  111., 42.08, 40.27, 45.38, 48.54,  -0.48, 2.8, 63243., 67356., 0.0,139.2, 98.6,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   655., 1265., 10.44, -22.81,   0.44, -0.301,  0.194,   87., 42.44, 40.73, 45.25, 48.54,  -0.26, 2.7, 60696., 71092., 0.1,138.8, 98.6,0.,193049.00,  3228.10,  9702.84, 386.1,136.5, 345.90,  6.40,  2., -0.004
   653., 1248., 10.44, -22.46,   0.44,  0.004, -0.015,   52., 42.56, 39.96, 45.38, 48.71,  -0.48, 2.7, 56620., 75927., 0.0,140.0, 98.6,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   655., 1265., 10.44, -22.81,   0.31, -0.098, -0.015,   16., 42.81, 40.73, 45.25, 48.54,  -0.26, 2.7, 55091., 71531., 0.1,139.2, 98.6,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1231., 10.44, -22.81,   0.31,  0.004, -0.015,  -20., 42.69, 40.42, 45.38, 48.71,  -0.48, 2.8, 60696., 71312., 0.0,140.0, 98.6,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1282., 10.31, -22.81,   0.31, -0.098,  0.402,  -38., 42.69, 39.81, 45.25, 48.20,  -0.26, 2.7, 62734., 70872., 0.1,139.6, 98.7,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1231., 10.31, -22.81,   0.31,  0.004, -0.223,  -62., 42.56, 39.96, 45.51, 48.03,  -0.48, 2.8, 57894., 65378., 0.0,141.2, 98.7,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1282., 10.31, -22.81,   0.31, -0.098, -0.223,  -80., 42.69, 39.96, 45.25, 47.69,  -0.26, 2.7, 62224., 74828., 0.1,140.0, 98.7,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1248., 10.31, -22.81,   0.18,  0.105, -0.015,  -86., 42.69, 40.11, 45.38, 47.69,  -0.48, 2.8, 54582., 76806., 0.0,140.4, 98.7,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1282., 10.18, -22.81,   0.18, -0.098, -0.223,  -80., 42.69, 39.96, 45.25, 47.35,  -0.48, 2.7, 51016., 79663., 0.1,139.2, 98.9,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1231., 10.18, -23.16,   0.18,  0.004, -0.640,  -68., 42.69, 40.11, 45.51, 47.52,  -0.48, 2.7, 56875., 81421., 0.0,140.4, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1282., 10.18, -22.81,   0.05, -0.098, -0.015,  -44., 42.69, 39.81, 45.25, 47.17,  -0.48, 2.8, 52799., 77905., 0.1,139.6, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1231., 10.18, -23.16,   0.05, -0.200, -0.431,  -20., 42.69, 40.11, 45.51, 47.35,  -0.48, 2.7, 58403., 77026., 0.0,140.4, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1300., 10.18, -23.16,   0.05, -0.200, -0.223,    4., 42.69, 39.96, 45.25, 47.17,  -0.26, 2.7, 58148., 80103., 0.1,139.2, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1248., 10.05, -23.16,  -0.08, -0.200, -0.640,   22., 42.93, 40.27, 45.51, 47.52,  -0.48, 2.7, 58658., 74608., 0.0,140.4, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1300., 10.05, -23.16,  -0.21, -0.200, -0.223,   46., 42.93, 39.81, 45.38, 47.86,  -0.26, 2.8, 56875., 75927., 0.1,139.6, 98.9,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1248., 10.05, -23.16,  -0.08, -0.200, -0.848,   63., 42.93, 40.88, 45.38, 48.71,  -0.48, 2.7, 61715., 78564., 0.1,140.0, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1300.,  9.92, -23.16,  -0.21, -0.200, -0.431,   81., 42.93, 40.42, 45.38, 48.54,  -0.26, 2.7, 56875., 74169., 0.1,139.2, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1248.,  9.92, -23.16,  -0.21, -0.200, -0.640,   99., 42.93, 40.88, 45.38, 48.88,  -0.48, 2.7, 60441., 79443., 0.1,140.0, 99.0,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1300.,  9.92, -23.16,  -0.48, -0.200, -0.015,  111., 42.81, 40.57, 45.38, 48.71,  -0.48, 2.7, 57384., 77905., 0.1,139.2, 98.7,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1265.,  9.79, -23.16,  -0.34, -0.200, -0.431,  123., 42.93, 40.88, 45.38, 48.88,  -0.26, 2.7, 56110., 77905., 0.1,139.2, 98.9,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1300.,  9.79, -23.16,  -0.48, -0.098, -0.223,  135., 42.81, 40.57, 45.25, 48.71,  -0.48, 2.8, 61715., 77685., 0.1,138.8, 98.7,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   653., 1265.,  9.79, -23.16,  -0.48, -0.301, -0.431,  141., 43.05, 40.88, 45.38, 48.88,  -0.48, 2.7, 54837., 76366., 0.1,139.2, 98.9,0.,193050.00,  3228.14,  9702.85, 382.1,136.7, 345.93,  1.70,  2., -4.088
   650., 1300.,  9.79, -23.16,  -0.61, -0.098,  0.402,  147., 42.93, 40.57, 45.25, 48.71,  -0.26, 2.7, 59677., 78344., 0.1,139.2, 98.6,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   653., 1265.,  9.67, -23.16,  -0.48, -0.200, -0.223,  147., 43.29, 40.88, 45.25, 48.88,  -0.26, 2.7, 54837., 79223., 0.1,139.2, 98.7,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   647., 1300.,  9.67, -23.16,  -0.61, -0.098,  0.611,  141., 43.05, 40.57, 45.25, 48.71,  -0.26, 2.7, 57894., 80762., 0.1,139.2, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   655., 1265.,  9.67, -23.16,  -0.61, -0.200,  0.819,  135., 43.41, 40.42, 45.25, 48.88,  -0.48, 2.7, 58148., 79223., 0.1,139.2, 98.7,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   650., 1300.,  9.67, -22.81,  -0.61,  0.004,  0.819,  117., 43.17, 39.96, 45.25, 48.71,  -0.26, 2.7, 59167., 77465., 0.1,139.2, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   655., 1265.,  9.54, -22.81,  -0.61, -0.200,  1.027,  105., 43.29, 40.11, 45.25, 48.88,  -0.26, 2.7, 58913., 76586., 0.1,138.8, 98.6,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   650., 1300.,  9.67, -22.81,  -0.61,  0.105,  1.236,   87., 43.05, 39.81, 45.25, 48.71,  -0.26, 2.7, 57639., 75927., 0.1,138.8, 98.3,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   655., 1265.,  9.54, -22.81,  -0.48, -0.098,  1.652,   75., 43.29, 40.27, 45.25, 48.88,  -0.26, 2.7, 59932., 75268., 0.1,139.2, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   650., 1300.,  9.54, -22.81,  -0.48,  0.105,  1.652,   63., 43.17, 39.81, 45.38, 48.71,  -0.26, 2.8, 58148., 74608., 0.1,139.2, 98.3,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   658., 1265.,  9.54, -22.81,  -0.48, -0.200,  1.861,   52., 43.41, 40.27, 45.25, 48.71,  -0.26, 2.7, 62988., 72630., 0.1,138.8, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   658., 1282.,  9.54, -22.81,  -0.34,  0.105,  2.277,   34., 43.17, 39.96, 45.38, 48.71,  -0.48, 2.8, 62734., 73729., 0.1,139.2, 98.3,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   664., 1265.,  9.54, -22.81,  -0.21, -0.200,  2.069,   28., 43.41, 40.11, 45.25, 48.71,  -0.48, 2.7, 65026., 74388., 0.1,138.4, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   655., 1282.,  9.54, -22.81,  -0.21,  0.105,  2.277,   34., 43.17, 39.96, 45.38, 48.71,  -0.48, 2.7, 61715., 75487., 0.1,138.8, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   661., 1265.,  9.41, -22.81,  -0.21, -0.200,  2.277,   40., 43.29, 40.27, 45.25, 48.71,  -0.26, 2.7, 59932., 78564., 0.1,138.4, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   653., 1265.,  9.41, -22.81,  -0.08,  0.004,  2.277,   52., 43.05, 40.42, 45.38, 48.71,  -0.48, 2.8, 59167., 77026., 0.1,138.8, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   658., 1265.,  9.41, -22.81,  -0.08, -0.301,  2.277,   57., 43.29, 41.03, 45.25, 48.71,  -0.48, 2.7, 60441., 75927., 0.1,138.4, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   655., 1265.,  9.41, -22.81,   0.05,  0.004,  2.069,   57., 43.05, 40.73, 45.38, 48.71,  -0.48, 2.7, 61460., 74388., 0.1,138.8, 98.3,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
   661., 1265.,  9.28, -22.81,   0.18, -0.301,  2.069,   52., 43.17, 40.88, 45.12, 48.54,  -0.48, 2.7, 61969., 75268., 0.1,138.0, 98.5,0.,193051.00,  3228.18,  9702.87, 386.7,137.2, 346.07,  6.40,  2.,  4.627
