20 November  2007   9:13:28.388 AM      
 
MD
  FORTRAN77 version
 
  A molecular dynamics program.
 
  The number of processors available:
  OMP_GET_NUM_PROCS () =        1
 
  The number of threads is        1
 
  This is processor        0
 
      Step      Pot Energy      Kin Energy     (P+K-E0)/E0
 
     136   124434.      0.124922      0.107260E-10
     137   124434.      0.126787      0.106559E-10
     138   124434.      0.128666      0.105814E-10
     139   124434.      0.130559      0.105096E-10
     140   124434.      0.132465      0.104320E-10
     141   124434.      0.134385      0.103554E-10
     142   124434.      0.136319      0.102771E-10
     143   124434.      0.138267      0.101992E-10
     144   124434.      0.140229      0.101196E-10
     145   124434.      0.142204      0.100354E-10
     146   124434.      0.144194      0.995506E-11
     147   124434.      0.146197      0.986981E-11
     148   124434.      0.148214      0.978689E-11
     149   124434.      0.150245      0.969965E-11
     150   124434.      0.152289      0.961522E-11
     151   124434.      0.154348      0.952271E-11
     152   124434.      0.156420      0.943536E-11
     153   124434.      0.158506      0.934741E-11
     154   124434.      0.160606      0.925304E-11
     155   124434.      0.162720      0.915960E-11
     156   124434.      0.164848      0.906464E-11
     157   124434.      0.166989      0.897015E-11
     158   124434.      0.169145      0.887542E-11
     159   124434.      0.171314      0.877590E-11
     160   124434.      0.173497      0.867767E-11
     161   124434.      0.175694      0.857499E-11
     162   124434.      0.177904      0.847454E-11
     163   124434.      0.180129      0.837022E-11
     164   124434.      0.182367      0.826766E-11
     165   124434.      0.184619      0.815902E-11
     166   124434.      0.186885      0.805155E-11
     167   124434.      0.189165      0.794711E-11
     168   124434.      0.191459      0.783286E-11
     169   124434.      0.193766      0.772550E-11
     170   124434.      0.196087      0.760949E-11
     171   124434.      0.198423      0.749594E-11
     172   124434.      0.200772      0.738028E-11
     173   124434.      0.203135      0.726322E-11
     174   124434.      0.205511      0.714627E-11
     175   124434.      0.207902      0.702793E-11
     176   124434.      0.210306      0.690396E-11
     177   124434.      0.212724      0.678164E-11
     178   124434.      0.215156      0.665943E-11
     179   124434.      0.217602      0.653266E-11
     180   124434.      0.220062      0.640519E-11
     181   124434.      0.222536      0.627889E-11
     182   124434.      0.225023      0.614792E-11
     183   124434.      0.227524      0.601401E-11
     184   124434.      0.230039      0.588350E-11
     185   124434.      0.232568      0.575135E-11
     186   124434.      0.235111      0.561465E-11
     187   124434.      0.237668      0.547595E-11
     188   124434.      0.240238      0.533772E-11
     189   124434.      0.242822      0.519797E-11
     190   124434.      0.245420      0.505062E-11
     191   124434.      0.248032      0.490994E-11
     192   124434.      0.250658      0.476843E-11
     193   124434.      0.253298      0.461979E-11
     194   124434.      0.255951      0.447221E-11
     195   124434.      0.258619      0.432240E-11
     196   124434.      0.261300      0.417517E-11
     197   124434.      0.263995      0.401753E-11
     198   124434.      0.266704      0.386597E-11
     199   124434.      0.269427      0.371265E-11
     200   124434.      0.272163      0.355478E-11
     201   124434.      0.274914      0.339082E-11
     202   124434.      0.277678      0.323400E-11
     203   124434.      0.280456      0.307016E-11
     204   124434.      0.283248      0.290749E-11
     205   124434.      0.286054      0.273932E-11
     206   124434.      0.288874      0.257513E-11
     207   124434.      0.291707      0.240416E-11
