20 November  2007   9:13:28.388 AM      
 
MD
  FORTRAN77 version
 
  A molecular dynamics program.
 
  The number of processors available:
  OMP_GET_NUM_PROCS () =        1
 
  The number of threads is        1
 
  This is processor        0
 
      Step      Pot Energy      Kin Energy     (P+K-E0)/E0
 
     641   124431.       2.83763     -0.337468E-09
     642   124431.       2.84656     -0.339140E-09
     643   124431.       2.85550     -0.340807E-09
     644   124431.       2.86445     -0.342487E-09
     645   124431.       2.87342     -0.344171E-09
     646   124431.       2.88240     -0.345854E-09
     647   124431.       2.89140     -0.347547E-09
     648   124431.       2.90041     -0.349243E-09
     649   124431.       2.90944     -0.350953E-09
     650   124431.       2.91848     -0.352659E-09
     651   124431.       2.92753     -0.354371E-09
     652   124431.       2.93660     -0.356092E-09
     653   124431.       2.94568     -0.357814E-09
     654   124431.       2.95478     -0.359544E-09
     655   124431.       2.96389     -0.361277E-09
     656   124431.       2.97301     -0.363019E-09
     657   124431.       2.98215     -0.364765E-09
     658   124431.       2.99131     -0.366511E-09
     659   124431.       3.00047     -0.368268E-09
     660   124431.       3.00966     -0.370028E-09
     661   124431.       3.01885     -0.371796E-09
     662   124431.       3.02806     -0.373565E-09
     663   124431.       3.03729     -0.375344E-09
     664   124431.       3.04653     -0.377128E-09
     665   124431.       3.05578     -0.378912E-09
     666   124431.       3.06505     -0.380706E-09
     667   124431.       3.07433     -0.382501E-09
     668   124431.       3.08363     -0.384306E-09
     669   124431.       3.09294     -0.386111E-09
     670   124431.       3.10226     -0.387930E-09
     671   124431.       3.11160     -0.389749E-09
     672   124431.       3.12095     -0.391572E-09
     673   124431.       3.13032     -0.393405E-09
     674   124431.       3.13970     -0.395235E-09
     675   124431.       3.14910     -0.397076E-09
     676   124431.       3.15851     -0.398926E-09
     677   124431.       3.16794     -0.400777E-09
     678   124431.       3.17737     -0.402633E-09
     679   124431.       3.18683     -0.404494E-09
     680   124431.       3.19629     -0.406361E-09
     681   124431.       3.20578     -0.408234E-09
     682   124431.       3.21527     -0.410115E-09
     683   124431.       3.22478     -0.411997E-09
     684   124431.       3.23431     -0.413888E-09
     685   124431.       3.24385     -0.415782E-09
     686   124431.       3.25340     -0.417686E-09
     687   124431.       3.26297     -0.419588E-09
     688   124431.       3.27255     -0.421502E-09
     689   124431.       3.28214     -0.423421E-09
     690   124431.       3.29175     -0.425350E-09
     691   124431.       3.30138     -0.427280E-09
     692   124431.       3.31102     -0.429215E-09
     693   124431.       3.32067     -0.431154E-09
     694   124431.       3.33034     -0.433101E-09
     695   124431.       3.34002     -0.435058E-09
     696   124430.       3.34972     -0.437009E-09
     697   124430.       3.35943     -0.438968E-09
     698   124430.       3.36915     -0.440939E-09
     699   124430.       3.37889     -0.442910E-09
     700   124430.       3.38864     -0.444893E-09
     701   124430.       3.39841     -0.446875E-09
     702   124430.       3.40819     -0.448861E-09
     703   124430.       3.41799     -0.450859E-09
     704   124430.       3.42780     -0.452865E-09
     705   124430.       3.43762     -0.454870E-09
     706   124430.       3.44746     -0.456878E-09
     707   124430.       3.45732     -0.458897E-09
     708   124430.       3.46718     -0.460920E-09
     709   124430.       3.47707     -0.462951E-09
     710   124430.       3.48696     -0.464984E-09
     711   124430.       3.49687     -0.467025E-09
     712   124430.       3.50680     -0.469071E-09
     713   124430.       3.51674     -0.471121E-09
     714   124430.       3.52669     -0.473179E-09
     715   124430.       3.53666     -0.475241E-09
     716   124430.       3.54664     -0.477312E-09
     717   124430.       3.55664     -0.479388E-09
     718   124430.       3.56665     -0.481464E-09
     719   124430.       3.57667     -0.483552E-09
     720   124430.       3.58671     -0.485642E-09
     721   124430.       3.59677     -0.487740E-09
     722   124430.       3.60684     -0.489842E-09
     723   124430.       3.61692     -0.491953E-09
     724   124430.       3.62702     -0.494065E-09
     725   124430.       3.63713     -0.496186E-09
     726   124430.       3.64725     -0.498314E-09
     727   124430.       3.65739     -0.500445E-09
     728   124430.       3.66755     -0.502581E-09
     729   124430.       3.67772     -0.504724E-09
     730   124430.       3.68790     -0.506875E-09
     731   124430.       3.69810     -0.509030E-09
     732   124430.       3.70831     -0.511191E-09
     733   124430.       3.71853     -0.513356E-09
     734   124430.       3.72877     -0.515528E-09
     735   124430.       3.73903     -0.517704E-09
     736   124430.       3.74930     -0.519890E-09
     737   124430.       3.75958     -0.522080E-09
     738   124430.       3.76988     -0.524276E-09
     739   124430.       3.78019     -0.526476E-09
     740   124430.       3.79052     -0.528685E-09
     741   124430.       3.80086     -0.530901E-09
     742   124430.       3.81121     -0.533119E-09
     743   124430.       3.82158     -0.535343E-09
     744   124430.       3.83197     -0.537575E-09
     745   124430.       3.84237     -0.539810E-09
     746   124430.       3.85278     -0.542057E-09
     747   124430.       3.86321     -0.544303E-09
     748   124430.       3.87365     -0.546557E-09
     749   124430.       3.88410     -0.548818E-09
     750   124430.       3.89457     -0.551084E-09
     751   124430.       3.90506     -0.553357E-09
     752   124430.       3.91556     -0.555633E-09
     753   124430.       3.92607     -0.557921E-09
     754   124430.       3.93660     -0.560211E-09
     755   124430.       3.94714     -0.562506E-09
     756   124430.       3.95770     -0.564805E-09
     757   124430.       3.96827     -0.567117E-09
     758   124430.       3.97885     -0.569432E-09
     759   124430.       3.98945     -0.571751E-09
     760   124430.       4.00007     -0.574077E-09
     761   124430.       4.01070     -0.576410E-09
     762   124430.       4.02134     -0.578746E-09
     763   124430.       4.03200     -0.581092E-09
     764   124430.       4.04267     -0.583438E-09
     765   124430.       4.05335     -0.585798E-09
     766   124430.       4.06405     -0.588160E-09
     767   124430.       4.07477     -0.590532E-09
     768   124430.       4.08550     -0.592910E-09
     769   124430.       4.09624     -0.595299E-09
     770   124430.       4.10700     -0.597691E-09
     771   124430.       4.11777     -0.600087E-09
     772   124430.       4.12856     -0.602499E-09
     773   124430.       4.13936     -0.604911E-09
     774   124430.       4.15018     -0.607328E-09
     775   124430.       4.16101     -0.609754E-09
     776   124430.       4.17185     -0.612187E-09
     777   124430.       4.18271     -0.614623E-09
     778   124430.       4.19359     -0.617064E-09
     779   124430.       4.20447     -0.619517E-09
     780   124430.       4.21538     -0.621971E-09
     781   124430.       4.22629     -0.624433E-09
     782   124430.       4.23722     -0.626900E-09
     783   124430.       4.24817     -0.629374E-09
     784   124430.       4.25913     -0.631858E-09
     785   124430.       4.27010     -0.634342E-09
     786   124430.       4.28109     -0.636837E-09
     787   124430.       4.29210     -0.639335E-09
     788   124430.       4.30311     -0.641838E-09
     789   124430.       4.31415     -0.644353E-09
     790   124430.       4.32519     -0.646867E-09
     791   124430.       4.33625     -0.649393E-09
     792   124429.       4.34733     -0.651922E-09
     793   124429.       4.35842     -0.654460E-09
     794   124429.       4.36952     -0.657002E-09
     795   124429.       4.38064     -0.659549E-09
     796   124429.       4.39178     -0.662109E-09
     797   124429.       4.40292     -0.664671E-09
     798   124429.       4.41409     -0.667236E-09
     799   124429.       4.42526     -0.669810E-09
     800   124429.       4.43645     -0.672390E-09
     801   124429.       4.44766     -0.674977E-09
     802   124429.       4.45888     -0.677572E-09
     803   124429.       4.47011     -0.680171E-09
     804   124429.       4.48136     -0.682772E-09
     805   124429.       4.49263     -0.685390E-09
     806   124429.       4.50390     -0.688010E-09
     807   124429.       4.51520     -0.690635E-09
     808   124429.       4.52650     -0.693267E-09
     809   124429.       4.53782     -0.695903E-09
     810   124429.       4.54916     -0.698546E-09
     811   124429.       4.56051     -0.701199E-09
     812   124429.       4.57187     -0.703852E-09
     813   124429.       4.58325     -0.706517E-09
     814   124429.       4.59465     -0.709187E-09
     815   124429.       4.60606     -0.711864E-09
     816   124429.       4.61748     -0.714546E-09
     817   124429.       4.62892     -0.717236E-09
     818   124429.       4.64037     -0.719928E-09
     819   124429.       4.65183     -0.722631E-09
     820   124429.       4.66331     -0.725341E-09
     821   124429.       4.67481     -0.728058E-09
     822   124429.       4.68632     -0.730778E-09
     823   124429.       4.69784     -0.733506E-09
     824   124429.       4.70938     -0.736238E-09
     825   124429.       4.72093     -0.738982E-09
     826   124429.       4.73250     -0.741730E-09
     827   124429.       4.74408     -0.744478E-09
     828   124429.       4.75568     -0.747244E-09
     829   124429.       4.76729     -0.750009E-09
     830   124429.       4.77892     -0.752782E-09
     831   124429.       4.79056     -0.755563E-09
     832   124429.       4.80221     -0.758349E-09
     833   124429.       4.81388     -0.761138E-09
     834   124429.       4.82556     -0.763940E-09
     835   124429.       4.83726     -0.766745E-09
     836   124429.       4.84898     -0.769555E-09
     837   124429.       4.86070     -0.772376E-09
     838   124429.       4.87244     -0.775203E-09
     839   124429.       4.88420     -0.778036E-09
     840   124429.       4.89597     -0.780875E-09
     841   124429.       4.90776     -0.783717E-09
     842   124429.       4.91956     -0.786570E-09
     843   124429.       4.93137     -0.789431E-09
     844   124429.       4.94320     -0.792298E-09
     845   124429.       4.95504     -0.795168E-09
     846   124429.       4.96690     -0.798047E-09
     847   124429.       4.97877     -0.800929E-09
     848   124429.       4.99066     -0.803825E-09
     849   124429.       5.00256     -0.806723E-09
     850   124429.       5.01448     -0.809627E-09
     851   124429.       5.02641     -0.812539E-09
     852   124429.       5.03835     -0.815462E-09
     853   124429.       5.05031     -0.818384E-09
     854   124429.       5.06229     -0.821316E-09
     855   124429.       5.07428     -0.824253E-09
     856   124429.       5.08628     -0.827199E-09
     857   124429.       5.09830     -0.830157E-09
     858   124429.       5.11033     -0.833112E-09
     859   124429.       5.12238     -0.836078E-09
     860   124429.       5.13444     -0.839046E-09
     861   124429.       5.14651     -0.842026E-09
     862   124429.       5.15860     -0.845014E-09
     863   124429.       5.17071     -0.848007E-09
     864   124429.       5.18283     -0.851003E-09
     865   124429.       5.19496     -0.854012E-09
     866   124429.       5.20711     -0.857026E-09
     867   124429.       5.21928     -0.860041E-09
     868   124429.       5.23145     -0.863069E-09
     869   124429.       5.24365     -0.866101E-09
     870   124429.       5.25585     -0.869141E-09
     871   124429.       5.26808     -0.872188E-09
     872   124429.       5.28031     -0.875244E-09
     873   124429.       5.29256     -0.878301E-09
     874   124429.       5.30483     -0.881370E-09
     875   124429.       5.31711     -0.884443E-09
     876   124429.       5.32940     -0.887528E-09
     877   124429.       5.34171     -0.890615E-09
     878   124428.       5.35404     -0.893706E-09
     879   124428.       5.36637     -0.896810E-09
     880   124428.       5.37873     -0.899915E-09
     881   124428.       5.39109     -0.903031E-09
     882   124428.       5.40348     -0.906153E-09
     883   124428.       5.41587     -0.909283E-09
     884   124428.       5.42829     -0.912420E-09
     885   124428.       5.44071     -0.915563E-09
     886   124428.       5.45315     -0.918714E-09
     887   124428.       5.46561     -0.921867E-09
     888   124428.       5.47808     -0.925031E-09
     889   124428.       5.49056     -0.928203E-09
     890   124428.       5.50306     -0.931381E-09
     891   124428.       5.51557     -0.934562E-09
     892   124428.       5.52810     -0.937754E-09
     893   124428.       5.54064     -0.940953E-09
     894   124428.       5.55320     -0.944160E-09
     895   124428.       5.56577     -0.947373E-09
     896   124428.       5.57836     -0.950596E-09
     897   124428.       5.59096     -0.953826E-09
     898   124428.       5.60358     -0.957060E-09
     899   124428.       5.61621     -0.960305E-09
     900   124428.       5.62885     -0.963555E-09
     901   124428.       5.64151     -0.966813E-09
     902   124428.       5.65419     -0.970076E-09
     903   124428.       5.66688     -0.973346E-09
     904   124428.       5.67958     -0.976626E-09
     905   124428.       5.69230     -0.979916E-09
     906   124428.       5.70503     -0.983206E-09
     907   124428.       5.71778     -0.986509E-09
     908   124428.       5.73054     -0.989810E-09
     909   124428.       5.74332     -0.993128E-09
     910   124428.       5.75611     -0.996449E-09
     911   124428.       5.76892     -0.999776E-09
     912   124428.       5.78174     -0.100311E-08
     913   124428.       5.79457     -0.100646E-08
     914   124428.       5.80742     -0.100980E-08
     915   124428.       5.82029     -0.101316E-08
     916   124428.       5.83317     -0.101653E-08
     917   124428.       5.84606     -0.101990E-08
     918   124428.       5.85897     -0.102327E-08
     919   124428.       5.87189     -0.102666E-08
     920   124428.       5.88483     -0.103005E-08
     921   124428.       5.89779     -0.103345E-08
     922   124428.       5.91075     -0.103686E-08
     923   124428.       5.92374     -0.104027E-08
     924   124428.       5.93673     -0.104370E-08
     925   124428.       5.94974     -0.104712E-08
     926   124428.       5.96277     -0.105056E-08
     927   124428.       5.97581     -0.105401E-08
     928   124428.       5.98887     -0.105746E-08
     929   124428.       6.00194     -0.106092E-08
     930   124428.       6.01502     -0.106439E-08
     931   124428.       6.02812     -0.106786E-08
     932   124428.       6.04123     -0.107134E-08
     933   124428.       6.05436     -0.107483E-08
     934   124428.       6.06751     -0.107832E-08
     935   124428.       6.08067     -0.108183E-08
     936   124428.       6.09384     -0.108534E-08
     937   124428.       6.10703     -0.108885E-08
     938   124428.       6.12023     -0.109238E-08
     939   124428.       6.13345     -0.109591E-08
     940   124428.       6.14668     -0.109945E-08
     941   124428.       6.15992     -0.110300E-08
     942   124428.       6.17319     -0.110655E-08
     943   124428.       6.18646     -0.111011E-08
     944   124428.       6.19975     -0.111368E-08
     945   124428.       6.21306     -0.111725E-08
     946   124428.       6.22638     -0.112084E-08
     947   124428.       6.23971     -0.112443E-08
     948   124428.       6.25306     -0.112803E-08
     949   124428.       6.26643     -0.113163E-08
     950   124428.       6.27980     -0.113524E-08
     951   124428.       6.29320     -0.113886E-08
     952   124428.       6.30661     -0.114249E-08
     953   124428.       6.32003     -0.114612E-08
     954   124428.       6.33347     -0.114976E-08
     955   124428.       6.34692     -0.115341E-08
     956   124427.       6.36039     -0.115707E-08
     957   124427.       6.37387     -0.116073E-08
     958   124427.       6.38737     -0.116440E-08
     959   124427.       6.40088     -0.116808E-08
     960   124427.       6.41440     -0.117176E-08
     961   124427.       6.42794     -0.117546E-08
     962   124427.       6.44150     -0.117916E-08
     963   124427.       6.45507     -0.118287E-08
     964   124427.       6.46866     -0.118659E-08
     965   124427.       6.48226     -0.119031E-08
     966   124427.       6.49587     -0.119404E-08
     967   124427.       6.50950     -0.119778E-08
     968   124427.       6.52314     -0.120152E-08
     969   124427.       6.53680     -0.120528E-08
     970   124427.       6.55048     -0.120904E-08
     971   124427.       6.56417     -0.121280E-08
     972   124427.       6.57787     -0.121658E-08
     973   124427.       6.59159     -0.122037E-08
     974   124427.       6.60532     -0.122415E-08
     975   124427.       6.61907     -0.122795E-08
     976   124427.       6.63283     -0.123176E-08
     977   124427.       6.64661     -0.123557E-08
     978   124427.       6.66040     -0.123939E-08
     979   124427.       6.67421     -0.124321E-08
     980   124427.       6.68803     -0.124705E-08
     981   124427.       6.70186     -0.125090E-08
     982   124427.       6.71571     -0.125475E-08
     983   124427.       6.72958     -0.125860E-08
     984   124427.       6.74346     -0.126247E-08
     985   124427.       6.75736     -0.126633E-08
     986   124427.       6.77127     -0.127022E-08
     987   124427.       6.78519     -0.127411E-08
     988   124427.       6.79913     -0.127801E-08
     989   124427.       6.81308     -0.128191E-08
     990   124427.       6.82705     -0.128583E-08
     991   124427.       6.84104     -0.128975E-08
     992   124427.       6.85504     -0.129368E-08
     993   124427.       6.86905     -0.129762E-08
     994   124427.       6.88308     -0.130156E-08
     995   124427.       6.89712     -0.130551E-08
     996   124427.       6.91118     -0.130947E-08
     997   124427.       6.92525     -0.131343E-08
     998   124427.       6.93934     -0.131740E-08
     999   124427.       6.95344     -0.132138E-08
    1000   124427.       6.96756     -0.132536E-08
 
  Elapsed wall clock time for main computation:
     233.931     seconds
 
MD
  Normal end of execution.
 
20 November  2007   9:17:22.586 AM      
