28 November  2008   1:59:14.195 PM      
  
 FLOW_1D_PRB
   Tests for the FLOW_1D routines.
  
 TEST01
  
  
   R =    0.0000000    
  
 Exact solution of continuous PDE:
  
  ____X____ ____U____ __Ux_____ ___Uxx___ ___RHS___ __Resid__
    0.3000    0.3000    1.0000   -0.0000   -0.0308    0.6308
    0.4000    0.4000    1.0000   -0.0000   -0.1156    0.9156
    0.5000    0.5000    1.0000   -0.0000   -0.2522    1.2522
    0.6000    0.6000    1.0000   -0.0000   -0.4402    1.6402
    0.7000    0.7000    1.0000    0.0000   -0.6721    2.0721
    0.8000    0.8000    1.0000   -0.0000   -0.9339    2.5339
    0.9000    0.9000    1.0000    0.0000   -1.2066    3.0066
    1.0000    1.0000    1.0000    0.0000    1.0000    0.0000
  
 Finite difference interpolant:
  
  
  ____X____ ____U____ __Ux_____ ___Uxx___ ___RHS___ __Resid__
  
    0.0000    0.0000    1.5643   -0.3852    0.0000    0.0000
    0.1000    0.1564    1.5451   -0.3852    0.0131   -0.0002
    0.2000    0.3090    1.4878   -0.7609    0.0082   -0.0003
    0.3000    0.4540    1.3938   -1.1179   -0.0308   -0.0003
    0.4000    0.5878    1.2656   -1.4473   -0.1156   -0.0001
    0.5000    0.7071    1.1062   -1.7411   -0.2522    0.0004
    0.6000    0.8090    0.9195   -1.9921   -0.4402    0.0010
    0.7000    0.8910    0.7102   -2.1939   -0.6721    0.0019
    0.8000    0.9511    0.4834   -2.3418   -0.9339    0.0029
    0.9000    0.9877    0.2447   -2.4320   -1.2066    0.0040
    1.0000    1.0000    0.1231   -2.4320    1.0000    0.0000
  
   R =   10.0000000    
  
 Exact solution of continuous PDE:
  
  ____X____ ____U____ __Ux_____ ___Uxx___ ___RHS___ __Resid__
  
    0.0000    0.0000    1.5708   -0.0000    0.0000    0.0000
    0.1000    0.1564    1.5515   -0.3860    2.1975    0.0000
    0.2000    0.3090    1.4939   -0.7625    4.1630   -0.0000
    0.3000    0.4540    1.3996   -1.1202    5.6878    0.0000
    0.4000    0.5878    1.2708   -1.4503    6.6071    0.0000
    0.5000    0.7071    1.1107   -1.7447    6.8164    0.0000
    0.6000    0.8090    0.9233   -1.9962    6.2824    0.0000
    0.7000    0.8910    0.7131   -2.1985    5.0465    0.0000
    0.8000    0.9511    0.4854   -2.3466    3.2209    0.0000
    0.9000    0.9877    0.2457   -2.4370    0.9777    0.0000
    1.0000    1.0000   -0.0000   -2.4674    1.0000    0.0000
  
 Linear finite difference approximation:
  
  
  ____X____ ____U____ __Ux_____ ___Uxx___ ___RHS___ __Resid__
  
    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000
    0.1000    0.1000    1.0000   -0.0000    2.1975   -1.0975
    0.2000    0.2000    1.0000   -0.0000    4.1630   -1.9630
    0.3000    0.3000    1.0000   -0.0000    5.6878   -2.3878
    0.4000    0.4000    1.0000   -0.0000    6.6071   -2.2071
    0.5000    0.5000    1.0000   -0.0000    6.8164   -1.3164
    0.6000    0.6000    1.0000   -0.0000    6.2824    0.3176
    0.7000    0.7000    1.0000    0.0000    5.0465    2.6535
    0.8000    0.8000    1.0000   -0.0000    3.2209    5.5791
    0.9000    0.9000    1.0000    0.0000    0.9777    8.9223
    1.0000    1.0000    1.0000    0.0000    1.0000    0.0000
  
 Finite difference interpolant:
  
  
  ____X____ ____U____ __Ux_____ ___Uxx___ ___RHS___ __Resid__
  
    0.0000    0.0000    1.5643   -0.3852    0.0000    0.0000
    0.1000    0.1564    1.5451   -0.3852    2.1975   -0.0092
    0.2000    0.3090    1.4878   -0.7609    4.1630   -0.0174
    0.3000    0.4540    1.3938   -1.1179    5.6878   -0.0238
    0.4000    0.5878    1.2656   -1.4473    6.6071   -0.0277
    0.5000    0.7071    1.1062   -1.7411    6.8164   -0.0287
    0.6000    0.8090    0.9195   -1.9921    6.2824   -0.0266
    0.7000    0.8910    0.7102   -2.1939    5.0465   -0.0216
    0.8000    0.9511    0.4834   -2.3418    3.2209   -0.0141
    0.9000    0.9877    0.2447   -2.4320    0.9777   -0.0050
    1.0000    1.0000    0.1231   -2.4320    1.0000    0.0000
  
 TEST02
  
  
   R =    0.0000000    
  
 Finite difference approximation:
  
  
  ____X____ ____U____ __Ux_____ ___Uxx___ ___RHS___ __Resid__
  
