# gnuplot data generated by MooNMD
#          x           y           p         psi         u-1         u-2         |u|
#
  1.25000000  0.50000000 -0.09716142  0.35923916  1.06244368  0.03879308  1.06315167
  1.25000000  0.75000000 -0.08991947  0.62056933  1.02480169  0.04717436  1.02588690
  0.62500000  0.75000000 -0.07722510  0.69496534  1.01748907  0.05762188  1.01911937
  0.62500000  0.50000000 -0.08446706  0.43244866  1.09136878  0.09785014  1.09574654
  1.25000000  0.50000000 -0.09716142  0.35923916  1.06244368  0.03879308  1.06315167


  1.25000000  1.00000000 -0.08942588  0.87291242  0.99619816  0.03378008  0.99677071
  0.62500000  1.00000000 -0.08604257  0.94637728  0.99605655  0.03189818  0.99656718
  0.62500000  0.75000000 -0.08375330  0.69496534  1.01748907  0.05762188  1.01911937
  1.25000000  0.75000000 -0.08713661  0.62056933  1.02480169  0.04717436  1.02588690
  1.25000000  1.00000000 -0.08942588  0.87291242  0.99619816  0.03378008  0.99677071


  0.00000000  1.00000000 -0.08980374  0.96142429  1.00000000  0.00000000  1.00000000
  0.62500000  1.00000000 -0.08259326  0.94637728  0.99605655  0.03189818  0.99656718
  0.62500000  1.50000000 -0.10681141  1.44154788  0.98655182  0.02881985  0.98697269
  0.00000000  1.50000000 -0.11402188  1.45178081  1.00000000  0.00000000  1.00000000
  0.00000000  1.00000000 -0.08980374  0.96142429  1.00000000  0.00000000  1.00000000


  1.25000000  1.00000000 -0.08378974  0.87291242  0.99619816  0.03378008  0.99677071
  1.25000000  1.50000000 -0.09820862  1.36433318  0.97468483  0.05011199  0.97597220
  0.62500000  1.50000000 -0.10356126  1.44154788  0.98655182  0.02881985  0.98697269
  0.62500000  1.00000000 -0.08914239  0.94637728  0.99605655  0.03189818  0.99656718
  1.25000000  1.00000000 -0.08378974  0.87291242  0.99619816  0.03378008  0.99677071


  1.25000000  2.00000000 -0.11149525  1.85078424  0.97131005  0.05207635  0.97270507
  0.62500000  2.00000000 -0.12254317  1.93433161  0.98372521  0.02548651  0.98405531
  0.62500000  1.50000000 -0.10685320  1.44154788  0.98655182  0.02881985  0.98697269
  1.25000000  1.50000000 -0.09580529  1.36433318  0.97468483  0.05011199  0.97597220
  1.25000000  2.00000000 -0.11149525  1.85078424  0.97131005  0.05207635  0.97270507


  0.00000000  2.00000000 -0.13796688  1.94213733  1.00000000  0.00000000  1.00000000
  0.00000000  1.50000000 -0.11726831  1.45178081  1.00000000  0.00000000  1.00000000
  0.62500000  1.50000000 -0.10342688  1.44154788  0.98655182  0.02881985  0.98697269
  0.62500000  2.00000000 -0.12412545  1.93433161  0.98372521  0.02548651  0.98405531
  0.00000000  2.00000000 -0.13796688  1.94213733  1.00000000  0.00000000  1.00000000


  2.50000000  1.00000000 -0.04718436  0.75051785  0.90533281 -0.03812501  0.90613520
  2.50000000  1.50000000 -0.06332698  1.20322657  0.91229205  0.05094307  0.91371329
  1.87500000  1.50000000 -0.08499231  1.28342332  0.94957339  0.04278820  0.95053692
  1.87500000  1.00000000 -0.06884969  0.80758396  0.95747407 -0.00890152  0.95751544
  2.50000000  1.00000000 -0.04718436  0.75051785  0.90533281 -0.03812501  0.90613520


  2.50000000  2.00000000 -0.08805663  1.66545355  0.93392532  0.06307092  0.93605259
  1.87500000  2.00000000 -0.10085275  1.75932324  0.95417001  0.05317954  0.95565081
  1.87500000  1.50000000 -0.08141051  1.28342332  0.94957339  0.04278820  0.95053692
  2.50000000  1.50000000 -0.06861438  1.20322657  0.91229205  0.05094307  0.91371329
  2.50000000  2.00000000 -0.08805663  1.66545355  0.93392532  0.06307092  0.93605259


  1.25000000  2.00000000 -0.11130779  1.85078424  0.97131005  0.05207635  0.97270507
  1.25000000  1.50000000 -0.09623312  1.36433318  0.97468483  0.05011199  0.97597220
  1.87500000  1.50000000 -0.08397110  1.28342332  0.94957339  0.04278820  0.95053692
  1.87500000  2.00000000 -0.09904577  1.75932324  0.95417001  0.05317954  0.95565081
  1.25000000  2.00000000 -0.11130779  1.85078424  0.97131005  0.05207635  0.97270507


  1.25000000  1.00000000 -0.08622281  0.87291242  0.99619816  0.03378008  0.99677071
  1.87500000  1.00000000 -0.07145486  0.80758396  0.95747407 -0.00890152  0.95751544
  1.87500000  1.50000000 -0.08172007  1.28342332  0.94957339  0.04278820  0.95053692
  1.25000000  1.50000000 -0.09648802  1.36433318  0.97468483  0.05011199  0.97597220
  1.25000000  1.00000000 -0.08622281  0.87291242  0.99619816  0.03378008  0.99677071


  2.50000000  3.00000000 -0.12497883  2.60737761  0.95029056  0.05277576  0.95175492
  1.87500000  3.00000000 -0.12985307  2.71518050  0.95937153  0.04694162  0.96051926
  1.87500000  2.50000000 -0.11510710  2.23641242  0.95647601  0.05243647  0.95791228
  2.50000000  2.50000000 -0.11023286  2.13405900  0.94343176  0.06133066  0.94542316
  2.50000000  3.00000000 -0.12497883  2.60737761  0.95029056  0.05277576  0.95175492


  1.25000000  3.00000000 -0.13911374  2.82077360  0.97021050  0.04305506  0.97116536
  1.25000000  2.50000000 -0.12566517  2.33583755  0.96996054  0.04855352  0.97117501
  1.87500000  2.50000000 -0.11605700  2.23641242  0.95647601  0.05243647  0.95791228
  1.87500000  3.00000000 -0.12950557  2.71518050  0.95937153  0.04694162  0.96051926
  1.25000000  3.00000000 -0.13911374  2.82077360  0.97021050  0.04305506  0.97116536


  1.25000000  2.00000000 -0.11090322  1.85078424  0.97131005  0.05207635  0.97270507
  1.87500000  2.00000000 -0.10024851  1.75932324  0.95417001  0.05317954  0.95565081
